channel_id,channel_name,subscribers,total_views,videos,timestamp,avg_views_per_video,avg_engagement_rate,upload_frequency_per_day,recent_video_count
UCkzzNLnuM-VsATWC53ehwOQ,Wemmbu,2850000,366204507,80,2026-01-20T17:33:56.039119,3215940.5,3.9915667850504613,0.25,10
UCvYPobTo42NM36X7VC4dLhA,FlameFrags,1920000,183175495,173,2026-01-20T17:33:56.619756,1981383.5,3.973251242655215,0.22727272727272727,10
